leagueID,season,fouls_per_game,name
1,2014,22.689473684210526,Premier League
1,2015,21.521052631578947,Premier League
1,2016,22.721052631578946,Premier League
1,2017,20.70263157894737,Premier League
1,2018,20.457894736842107,Premier League
1,2019,21.46578947368421,Premier League
1,2020,21.773684210526316,Premier League
2,2014,30.33157894736842,Serie A
2,2015,30.394736842105264,Serie A
2,2016,27.926315789473684,Serie A
2,2017,25.55263157894737,Serie A
2,2018,26.097368421052632,Serie A
2,2019,27.54736842105263,Serie A
2,2020,27.49736842105263,Serie A
3,2014,30.535947712418302,Bundesliga
3,2015,29.045751633986928,Bundesliga
3,2016,28.61764705882353,Bundesliga
3,2017,26.72222222222222,Bundesliga
3,2018,22.375816993464053,Bundesliga
3,2019,23.372549019607842,Bundesliga
3,2020,24.68954248366013,Bundesliga
4,2014,28.444736842105264,La Liga
4,2015,27.19736842105263,La Liga
4,2016,27.889473684210525,La Liga
4,2017,27.686842105263157,La Liga
4,2018,27.08157894736842,La Liga
4,2019,27.45263157894737,La Liga
4,2020,26.492105263157896,La Liga
5,2014,27.53157894736842,Ligue 1
5,2015,26.71315789473684,Ligue 1
5,2016,25.03693931398417,Ligue 1
5,2017,26.144736842105264,Ligue 1
5,2018,26.355263157894736,Ligue 1
5,2019,25.996415770609318,Ligue 1
5,2020,25.623684210526317,Ligue 1
