leagueID,teamID,season,team_name,shotsOnTarget,league_name
4,151,2018,Levante,4.184210526315789,La Liga
4,139,2015,Deportivo La Coruna,4.131578947368421,La Liga
4,223,2017,Girona,4.105263157894737,La Liga
4,157,2019,Osasuna,3.9473684210526314,La Liga
4,159,2019,Leganes,3.9210526315789473,La Liga
4,232,2018,SD Huesca,3.9210526315789473,La Liga
4,142,2015,Getafe,3.8947368421052633,La Liga
4,158,2017,Alaves,3.6052631578947367,La Liga
4,149,2016,Sporting Gijon,3.5526315789473686,La Liga
4,231,2018,Real Valladolid,3.5,La Liga
4,155,2015,Granada,3.4473684210526314,La Liga
4,239,2019,Mallorca,3.3947368421052633,La Liga
4,207,2014,Elche,3.3421052631578947,La Liga
4,208,2014,Almeria,3.1315789473684212,La Liga
4,206,2014,Cordoba,3.0789473684210527,La Liga
4,261,2020,Cadiz,2.6842105263157894,La Liga
5,161,2019,Paris Saint Germain,7.222222222222222,Ligue 1
5,178,2018,Lyon,6.631578947368421,Ligue 1
5,171,2016,Monaco,6.421052631578948,Ligue 1
5,164,2017,Marseille,6.105263157894737,Ligue 1
5,160,2018,Lille,5.157894736842105,Ligue 1
5,170,2017,Nice,4.7631578947368425,Ligue 1
5,235,2018,Nimes,4.7368421052631575,Ligue 1
5,175,2018,Saint-Etienne,4.684210526315789,Ligue 1
5,167,2016,Angers,4.657894736842105,Ligue 1
5,165,2015,Caen,4.631578947368421,Ligue 1
5,166,2020,Montpellier,4.631578947368421,Ligue 1
5,179,2014,Lorient,4.578947368421052,Ligue 1
5,169,2017,Guingamp,4.394736842105263,Ligue 1
5,163,2020,Rennes,4.342105263157895,Ligue 1
5,181,2017,Dijon,4.2631578947368425,Ligue 1
5,180,2017,Metz,4.2368421052631575,Ligue 1
5,176,2014,Bordeaux,4.2105263157894735,Ligue 1
5,177,2015,Reims,4.184210526315789,Ligue 1
5,241,2020,Brest,4.184210526315789,Ligue 1
5,174,2015,Toulouse,4.157894736842105,Ligue 1
5,225,2018,Strasbourg,4.131578947368421,Ligue 1
5,168,2019,Nantes,4.071428571428571,Ligue 1
5,172,2015,Troyes,4.0,Ligue 1
5,210,2020,Lens,3.789473684210526,Ligue 1
5,162,2016,SC Bastia,3.2162162162162162,Ligue 1
5,173,2015,GFC Ajaccio,3.1842105263157894,Ligue 1
5,224,2018,Amiens,3.0789473684210527,Ligue 1
5,182,2016,Nancy,2.8684210526315788,Ligue 1
5,209,2014,Evian Thonon Gaillard,2.763157894736842,Ligue 1
