leagueID,teamID,awayGames,awayGoals,awayWins,awayDraws,awayPoints,performanceMetric,name_x,name_y
3,132,119,146,33.0,25.0,124.0,34.73389355742297,Bundesliga,Eintracht Frankfurt
3,121,119,120,31.0,27.0,120.0,33.61344537815126,Bundesliga,Augsburg
3,125,119,135,30.0,29.0,119.0,33.33333333333333,Bundesliga,Mainz 05
3,122,119,140,29.0,31.0,118.0,33.0532212885154,Bundesliga,Hertha Berlin
3,124,119,131,29.0,30.0,117.0,32.773109243697476,Bundesliga,Schalke 04
3,134,102,112,24.0,27.0,99.0,32.35294117647059,Bundesliga,FC Cologne
3,240,34,35,8.0,8.0,32.0,31.372549019607842,Bundesliga,Union Berlin
3,133,85,109,20.0,18.0,78.0,30.58823529411765,Bundesliga,VfB Stuttgart
3,127,34,33,8.0,6.0,30.0,29.411764705882355,Bundesliga,Darmstadt
3,262,17,13,3.0,6.0,15.0,29.411764705882355,Bundesliga,Arminia Bielefeld
3,126,34,26,7.0,8.0,29.0,28.431372549019606,Bundesliga,Ingolstadt
3,233,34,40,6.0,11.0,29.0,28.431372549019606,Bundesliga,Fortuna Duesseldorf
3,135,102,107,18.0,32.0,86.0,28.104575163398692,Bundesliga,Freiburg
3,118,68,53,13.0,14.0,53.0,25.98039215686275,Bundesliga,Hamburger SV
3,205,34,26,5.0,10.0,25.0,24.509803921568626,Bundesliga,Paderborn
3,128,68,67,8.0,21.0,45.0,22.058823529411764,Bundesliga,Hannover 96
3,234,17,10,0.0,3.0,3.0,5.88235294117647,Bundesliga,Nuernberg
4,148,133,303,85.0,28.0,283.0,70.92731829573935,La Liga,Barcelona
4,150,133,286,82.0,28.0,274.0,68.67167919799499,La Liga,Real Madrid
4,143,133,185,66.0,40.0,238.0,59.64912280701754,La Liga,Atletico Madrid
4,154,133,158,46.0,41.0,179.0,44.86215538847117,La Liga,Villarreal
4,138,133,171,47.0,33.0,174.0,43.609022556390975,La Liga,Sevilla
4,261,19,19,6.0,6.0,24.0,42.10526315789473,La Liga,Cadiz
4,223,38,44,12.0,10.0,46.0,40.35087719298245,La Liga,Girona
4,140,133,156,42.0,32.0,158.0,39.59899749373433,La Liga,Real Sociedad
4,146,133,162,39.0,35.0,152.0,38.095238095238095,La Liga,Valencia
4,147,133,128,35.0,36.0,141.0,35.338345864661655,La Liga,Athletic Club
4,153,114,117,31.0,25.0,118.0,34.50292397660819,La Liga,Real Betis
4,152,133,149,31.0,38.0,131.0,32.83208020050125,La Liga,Celta Vigo
4,158,95,90,25.0,17.0,92.0,32.280701754385966,La Liga,Alaves
4,142,114,98,26.0,32.0,110.0,32.16374269005848,La Liga,Getafe
4,141,114,111,25.0,31.0,106.0,30.994152046783626,La Liga,Espanyol
4,231,57,45,11.0,20.0,53.0,30.994152046783626,La Liga,Real Valladolid
4,156,133,128,27.0,40.0,121.0,30.32581453634085,La Liga,Eibar
4,157,57,53,12.0,15.0,51.0,29.82456140350877,La Liga,Osasuna
4,207,38,32,8.0,9.0,33.0,28.947368421052634,La Liga,Elche
4,208,19,15,5.0,1.0,16.0,28.07017543859649,La Liga,Almeria
4,151,114,111,22.0,25.0,91.0,26.608187134502927,La Liga,Levante
4,145,57,59,11.0,11.0,44.0,25.730994152046783,La Liga,Rayo Vallecano
4,159,76,60,13.0,19.0,58.0,25.438596491228072,La Liga,Leganes
4,137,76,55,13.0,18.0,57.0,25.0,La Liga,Malaga
4,139,76,65,9.0,30.0,57.0,25.0,La Liga,Deportivo La Coruna
4,155,95,97,17.0,20.0,71.0,24.912280701754387,La Liga,Granada
4,149,38,28,5.0,11.0,26.0,22.807017543859647,La Liga,Sporting Gijon
4,232,38,36,4.0,12.0,24.0,21.052631578947366,La Liga,SD Huesca
4,206,19,10,2.0,5.0,11.0,19.298245614035086,La Liga,Cordoba
4,144,57,49,6.0,11.0,29.0,16.95906432748538,La Liga,Las Palmas
4,239,19,15,1.0,3.0,6.0,10.526315789473683,La Liga,Mallorca
5,161,127,268,85.0,21.0,276.0,72.44094488188976,Ligue 1,Paris Saint Germain
5,178,128,233,60.0,32.0,212.0,55.208333333333336,Ligue 1,Lyon
5,171,128,204,60.0,31.0,211.0,54.947916666666664,Ligue 1,Monaco
5,164,128,188,50.0,38.0,188.0,48.95833333333333,Ligue 1,Marseille
5,160,127,141,48.0,29.0,173.0,45.40682414698163,Ligue 1,Lille
5,170,127,146,42.0,39.0,165.0,43.30708661417323,Ligue 1,Nice
5,163,128,146,40.0,41.0,161.0,41.92708333333333,Ligue 1,Rennes
5,175,128,129,43.0,29.0,158.0,41.14583333333333,Ligue 1,Saint-Etienne
5,166,128,132,33.0,45.0,144.0,37.5,Ligue 1,Montpellier
5,176,129,145,36.0,37.0,145.0,37.46770025839793,Ligue 1,Bordeaux
5,168,128,123,35.0,35.0,140.0,36.45833333333333,Ligue 1,Nantes
5,167,108,104,30.0,27.0,117.0,36.11111111111111,Ligue 1,Angers
5,177,90,97,22.0,29.0,95.0,35.18518518518518,Ligue 1,Reims
5,225,71,82,18.0,19.0,73.0,34.27230046948357,Ligue 1,Strasbourg
5,210,38,45,10.0,9.0,39.0,34.21052631578947,Ligue 1,Lens
5,235,52,57,13.0,10.0,49.0,31.41025641025641,Ligue 1,Nimes
5,165,95,86,21.0,25.0,88.0,30.87719298245614,Ligue 1,Caen
5,180,90,69,18.0,24.0,78.0,28.888888888888886,Ligue 1,Metz
5,169,95,82,19.0,21.0,78.0,27.368421052631582,Ligue 1,Guingamp
5,173,19,14,3.0,6.0,15.0,26.31578947368421,Ligue 1,GFC Ajaccio
5,179,76,86,14.0,17.0,59.0,25.877192982456144,Ligue 1,Lorient
5,209,19,21,4.0,2.0,14.0,24.561403508771928,Ligue 1,Evian Thonon Gaillard
5,162,57,38,10.0,11.0,41.0,23.976608187134502,Ligue 1,SC Bastia
5,224,52,36,7.0,16.0,37.0,23.717948717948715,Ligue 1,Amiens
5,241,33,31,5.0,8.0,23.0,23.232323232323232,Ligue 1,Brest
5,174,110,81,15.0,28.0,73.0,22.12121212121212,Ligue 1,Toulouse
5,182,19,8,2.0,5.0,11.0,19.298245614035086,Ligue 1,Nancy
5,181,90,76,10.0,22.0,52.0,19.25925925925926,Ligue 1,Dijon
5,172,38,30,4.0,5.0,17.0,14.912280701754385,Ligue 1,Troyes
